球员,时间,助攻,得分,得分效率,助攻效率
迈克尔-乔丹,38.3,5.3,30.1,0.785900783,0.138381201
威尔特-张伯伦,45.8,4.4,30.1,0.65720524,0.096069869
埃尔金·贝勒,40,4.3,27.4,0.685,0.1075
勒布朗-詹姆斯,38.7,7.2,27.1,0.700258398,0.186046512
凯文-杜兰特,37.1,4,27.1,0.730458221,0.107816712
杰里-韦斯特,39.2,6.7,27,0.68877551,0.170918367
阿伦-艾弗森,41.1,6.2,26.7,0.649635036,0.150851582
鲍勃-佩蒂特,38.8,3,26.4,0.680412371,0.077319588
乔治-格文,33.5,2.8,26.2,0.782089552,0.08358209
奥斯卡-罗伯特森,42.2,9.5,25.7,0.609004739,0.225118483
卡尔-马龙,37.2,3.6,25,0.672043011,0.096774194
科比-布莱恩特,36.1,4.7,25,0.692520776,0.130193906
多米尼克-威尔金斯,35.5,2.5,24.8,0.698591549,0.070422535
卡里姆-贾巴尔,36.8,3.6,24.6,0.668478261,0.097826087
拉里·伯德,38.4,6.3,24.3,0.6328125,0.1640625
阿德里安-丹特利,35.8,3,24.3,0.67877095,0.083798883
皮特-马拉维奇,37,5.4,24.2,0.654054054,0.145945946
卡梅罗-安东尼,35.8,3,24,0.670391061,0.083798883
沙奎尔-奥尼尔,34.7,2.5,23.7,0.682997118,0.07204611
安东尼-戴维斯,34.8,1.9,23.5,0.675287356,0.054597701
斯蒂芬-库里,34.4,6.8,23.2,0.674418605,0.197674419
达米安-利拉德,36.3,6.2,23.2,0.639118457,0.170798898
里克-巴里,36.3,5.1,23.2,0.639118457,0.140495868
詹姆斯-哈登,33.9,6.1,23.1,0.681415929,0.179941003
拉塞尔-威斯布鲁克,34.3,8.2,23,0.670553936,0.239067055
乔尔-恩比德,29.5,2.9,22.8,0.772881356,0.098305085
伯纳德-金,33.7,3.3,22.5,0.667655786,0.097922849
德维恩-韦德,34.4,5.5,22.4,0.651162791,0.159883721
查尔斯-巴克利,36.7,3.9,22.1,0.602179837,0.10626703
大卫-汤普森,32,3.2,22.1,0.690625,0.1
鲍伯-麦克阿杜,33.2,2.3,22.1,0.665662651,0.069277108
朱利叶斯-欧文,34.3,3.9,22,0.641399417,0.113702624
凯里-欧文,33.9,5.5,22,0.648967552,0.162241888
乔夫-皮特里,37.6,4.6,21.8,0.579787234,0.122340426
哈基姆-奥拉朱旺,35.7,2.5,21.8,0.610644258,0.070028011
布雷克-格里芬,35,4.3,21.5,0.614285714,0.122857143
德马库斯-考辛斯,32.3,3.2,21.5,0.665634675,0.099071207
卡尔-安东尼-唐斯,34.8,2.3,21.5,0.617816092,0.066091954
阿历克斯-英格利什,31.9,3.6,21.5,0.673981191,0.112852665
德克-诺维茨基,34.4,2.5,21.2,0.61627907,0.072674419
大卫-罗宾逊,34.7,2.5,21.1,0.608069164,0.07204611
米奇-里奇蒙德,35.2,3.5,21,0.596590909,0.099431818
帕特里克-尤因,34.3,1.9,21,0.612244898,0.055393586
埃尔文-海耶斯,38.4,1.8,21,0.546875,0.046875
比利·坎宁安,34.3,4,20.8,0.606413994,0.116618076
约翰-哈福利切克,36.6,4.8,20.8,0.568306011,0.131147541
约翰-德鲁,29.5,1.7,20.7,0.701694915,0.057627119
格伦-罗宾迅,36.8,2.7,20.7,0.5625,0.073369565
克里斯-韦伯,37.1,4.2,20.7,0.557951482,0.113207547
多诺万-米切尔,33.5,3.8,20.7,0.617910448,0.113432836
吉尔伯特-阿里纳斯,35.1,5.3,20.7,0.58974359,0.150997151
摩西-马龙,33.9,1.4,20.6,0.607669617,0.041297935
克莱德-德雷克斯勒,34.6,5.6,20.4,0.589595376,0.161849711
丹-伊塞尔,31.1,2.5,20.4,0.655948553,0.080385852
戴夫-宾,36.4,6,20.3,0.557692308,0.164835165
卢卡-东契奇,34.3,4.5,20.3,0.591836735,0.131195335
沃尔德-B-弗里,30.4,3.7,20.3,0.667763158,0.121710526
